key	text	tooltip
#Loc;1;text/db/effects__core.loc		
effects_description_wh_main_effect_technology_economy_gdp_mod_subsistence_dwarfs	城镇序列收入产值：%+n%	true
effects_description_wh_main_effect_character_stat_enable_magic_attacks	Enables magical attacks	true
effects_description_wh_main_effect_tech_recruitment_cost_reduction_chaos_giants	Recruitment cost: %+n% for Chaos Giant units	true
effects_description_wh_main_effect_name_epithet_chs_beloved_lord	[HIDDEN] Adds the name "Beloved Lord"	true
effects_description_wh_main_effect_force_army_campaign_stance_ambush_hidden_dummy	Hidden until discovered or battle initiated	true
effects_description_wh_main_effect_agent_recruitment_cost_mod_wizard_greenskins	Hero recruitment cost: %+n% for Shamans	true
effects_description_wh_main_effect_economy_gdp_mod_all	Income from all buildings: %+n%	true
effects_description_wh_main_effect_agent_enable_recruitment_champion_bretonnia	Enables [[img:icon_hero]][[/img]]Hero recruitment: Paladin	true
effects_description_wh_dlc05_effect_melee_damage_factionwide	Weapon strength: %+n% for all units	true
effects_description_wh_main_effect_name_epithet_dwf_the_astute	[HIDDEN] Adds the name "the Astute"	true
effects_description_wh_main_effect_name_title_emp_reiksmarshal	Gives the character the title: "Reiksmarshal"	true
effects_description_wh_main_effect_ability_enable_skull_of_katam	Ability: "Skull of Katam"	true
effects_description_wh_main_effect_agent_action_success_chance_engineer	Hero action success chance: %+n% for Master Engineers	true
effects_description_wh_main_effect_name_epithet_chs_chosen_of_tzeentch	[HIDDEN] Adds the name "Chosen of Tzeentch"	true
effects_description_wh_dlc03_effect_enable_item_icons_of_villification	Item: Icons of Vilification	true
effects_description_wh_main_effect_name_epithet_dwf_shadow_lord	[HIDDEN] Adds the name "Shadow Lord"	true
effects_description_wh_dlc03_effect_magic_beasts_cooldown_flock_of_doom	Cooldown: %+n% to "Flock of Doom"	true
effects_description_wh_main_effect_ability_enable_shield_of_faith	Battle prayer: "Shield of Faith"	true
effects_description_wh_dlc05_effect_siege_engine_unlock_wef_siege_tower	Pre-siege: siege tower	true
effects_description_wh_dlc03_effect_magic_beasts_enable_the_amber_spear	Spell: "The Amber Spear"	true
effects_description_wh_dlc04_effect_melee_defence_increase_corpse_cart_mortis_engine	Melee defence: %+n for Corpse Cart and Mortis Engine units	true
effects_description_wh_dlc04_effect_magic_vampires_invocation_of_nehek_helman	Spell: "Invocation of Nehek"	true
effects_description_wh_main_effect_economy_gdp_mod_agriculture_farming	[Will be renamed]Wealth: %+n% from agricultural buildings	true
effects_description_wh_main_effect_name_epithet_dwf_the_scarred	[HIDDEN] Adds the name "the Scarred"	true
effects_description_wh_main_effect_technology_economy_gdp_mod_livestock_dwarfs	Income from Toolmakers: %+n%	true
effects_description_wh_dlc05_effect_enable_mount_elven_steed	Mount: Elven Steed	true
effects_description_wh_main_effect_siege_engine_number_emp_siege_tower	%n siege towers per siege item	true
effects_description_wh_main_effect_siege_engine_number_vmp_siege_tower	%n siege towers per siege item	true
effects_description_wh_main_effect_agent_recruitment_cost_mod_engineer	Hero recruitment cost: %+n% for Master Engineers	true
effects_description_wh_main_effect_tech_battle_morale_increase_skeletons	Leadership: %+n for Skeletal units	true
effects_description_wh_main_effect_force_unit_stat_morale_during_night	Leadership: %+n during lightning strike battles	true
effects_description_wh_main_effect_name_epithet_grn_the_astute	[HIDDEN] Adds the name "the Astute"	true
effects_description_wh_main_effect_force_all_campaign_sacking_income_factionwide	Income from sacking settlements: %+n%	true
effects_description_wh_dlc05_effect_building_recruitment_duration_all	Recruitment duration: %+n turn for all units	true
effects_description_wh_main_effect_force_ward_save_missile_fighting_wood_elves	Missile resistance: %n% when fighting against Wood Elves	true
effects_description_wh_main_effect_religion_conversion_chaos_events_bad	Chaos corruption: %+n	true
effects_description_wh_main_effect_name_epithet_dwf_the_fool_on_the_wall	[HIDDEN] Adds the name "the Fool on the Wall"	true
effects_description_wh_dlc03_effect_bloodlust_modifier_non_aggression	Bestial rage: %+n from non-aggression pacts	true
effects_description_wh_main_effect_religion_conversion_untainted_events	Reduction in [[img:icon_corruption_vmp]][[/img]]Vampiric and [[img:icon_corruption_chs]][[/img]]Chaos corruption: %+n	true
effects_description_wh_dlc05_effect_agent_cap_increase_champion	Branchwraith [[img:icon_hero]][[/img]]Hero capacity: %+n	true
effects_description_wh_main_effect_building_construction_cost_mod_infrastructure	Construction cost: %+n% for Infrastructure buildings	true
effects_description_wh_main_effect_magic_vampires_enable_gaze_of_nagash	Spell: "Gaze of Nagash"	true
effects_description_wh_main_effect_name_epithet_dwf_the_the_perceptive	[HIDDEN] Adds the name "the Perceptive"	true
effects_description_wh_main_effect_name_epithet_dwf_marshal_of_the_wall	[HIDDEN] Adds the name "Marshal of the Wall"	true
effects_description_wh_main_effect_agent_recruitment_xp_dignitary_vampire_counts	Hero recruit rank: %+n for Vampires	true
effects_description_wh_dlc03_effect_building_upkeep_reduction_chaos_warhounds	Upkeep: %+n% for Chaos Warhound units	true
effects_description_wh_main_effect_ability_enable_grand_hammer_of_sigmar	Battle prayer: "Grand Hammer of Sigmar"	true
effects_description_wh_main_effect_agent_cap_increase_dignitary_warrior_priest	Warrior Priest [[img:icon_hero]][[/img]]Hero capacity: %+n	true
effects_description_wh_dlc03_effect_agent_enable_recruitment_wizard_beastmen	Enables [[img:icon_hero]][[/img]]Hero recruitment: Bray-Shaman	true
effects_description_wh_main_effect_economy_gdp_mod_commerce_all	[Will be renamed]Wealth: %+n% from commercial buildings	true
effects_description_wh_main_effect_region_all_campaign_enable_disease_attrition	Plague causes unit attrition	true
effects_description_wh_main_effect_ability_enable_hellfire_sword	Ability: "Hellfire Sword"	true
effects_description_wh_main_effect_name_epithet_emp_beloved_lord	[HIDDEN] Adds the name "Beloved Lord"	true
effects_description_wh_main_effect_name_epithet_vmp_beloved_lord	[HIDDEN] Adds the name "Beloved Lord"	true
effects_description_wh_main_effect_agent_action_cost_mod_dignitary_vampire_counts	Hero action cost: %+n% for Vampires	true
effects_description_wh_main_effect_name_epithet_dwf_death-stalker	[HIDDEN] Adds the name "Death-stalker"	true
effects_description_wh_main_effect_building_vampiric_mercenary_replenishment_crypt_ghouls	do not translate	true
effects_description_wh_main_effect_force_army_battle_infantry_ranged_ammunition	Ammunition: %+n% for missile infantry units	true
effects_description_wh_main_effect_force_army_campaign_upkeep_land_in_foreign_territory	Upkeep: %+n% for land units when in foreign territory	true
effects_description_wh_main_effect_tech_unit_xp_levels_boar_wolf_spider_riders	Unit experience: %+n for Boar, Wolf and Spider Rider unit recruits	true
effects_description_wh_main_effect_ability_enable_grand_shield_of_faith	Battle prayer: "Grand Shield of Faith"	true
effects_description_wh_main_effect_agent_recruitment_xp_spy_greenskins	Hero recruit rank: %+n for Goblin Big Bosses	true
effects_description_wh_main_effect_name_epithet_vmp_the_revenant	[HIDDEN] Adds the name "the Revenant"	true
effects_description_wh_main_effect_commandment_dwarfs_high_kings_tribute_tax_mod	High King's Tribute commandment: additional %n% {{tr:icon_income}}tax rate	true
effects_description_wh_main_effect_force_navy_campaign_experience_base_ships_all	Unit experience: %+n for all ship recruits	true
effects_description_wh_dlc05_effect_tech_missile_damage_increase_waystalkers	Missile damage: %+n% for embedded Waystalker [[img:icon_hero]][[/img]]Heroes	true
effects_description_wh_main_effect_name_epithet_brt_shadow_lord	[HIDDEN] Adds the name "Shadow Lord"	true
effects_description_wh_main_effect_magic_lil_waaagh_enable_curse_of_da_bad_moon	Spell: "Curse of Da Bad Moon"	true
effects_description_wh_dlc04_effect_enable_mount_brothers_corpse_cart	Mount: The Brothers Ghorst Corpse Cart	true
effects_description_wh_main_effect_agent_recruitment_cost_mod_spy_vampire_counts	Hero recruitment cost: %+n% for Banshees	true
effects_description_wh_main_effect_magic_vampires_cooldown_vanhels_danse_macabre	Cooldown: %+n% to "Vanhel's Danse Macabre"	true
effects_description_wh_main_effect_tech_melee_damage_increase_dire_wolves	Weapon strength: %+n% for Dire Wolves units	true
effects_description_wh_main_effect_tech_unit_xp_levels_dwf_blackpowder_fire_units	Unit experience: %+n for Dwarf blackpowder and fire-based unit recruits	true
effects_description_wh_main_effect_force_army_battle_charge_bonus	Charge bonus: %+n%	true
effects_description_wh_main_effect_economy_gdp_mod_industry_horde	[Will be renamed]Wealth: %+n% from industrial buildings	true
effects_description_wh_main_effect_ability_enable_the_crown_of_domination	Passive ability: "The Crown of Domination"	true
